bowler,balls,runs_conceded,wickets,dot_balls,fours_conceded,sixes_conceded,format,overs,economy,bowling_average,bowling_strike_rate,dot_ball_percent,boundary_runs_conceded,boundary_percent_conceded,balls_per_boundary
PVD Chameera,1790,2343,96,657,215,72,T20I,298.3,7.85,24.41,18.65,36.7,1292,55.14,6.24
YS Chahal,1820,2431,96,584,135,129,T20I,303.3,8.02,25.32,18.96,32.09,1314,54.05,6.89
AR Ramjani,1224,975,95,643,64,20,T20I,204.0,4.78,10.26,12.88,52.53,376,38.56,14.57
Bilal Khan,1524,1738,95,685,174,51,T20I,254.0,6.84,18.29,16.04,44.95,1002,57.65,6.77
AR Patel,1668,2098,94,637,147,101,T20I,278.0,7.55,22.32,17.74,38.19,1194,56.91,6.73
Kuldeep Yadav,1114,1271,92,426,62,60,T20I,185.7,6.84,13.82,12.11,38.24,608,47.84,9.13
F Banunaek,1915,2166,92,801,162,81,T20I,319.2,6.79,23.54,20.82,41.83,1134,52.35,7.88
AJ Hosein,2037,2494,92,793,193,108,T20I,339.5,7.35,27.11,22.14,38.93,1420,56.94,6.77
Z Bimenyimana,1711,1938,91,810,201,53,T20I,285.2,6.8,21.3,18.8,47.34,1122,57.89,6.74
DJ Hawoe,1900,2212,91,797,160,97,T20I,316.7,6.98,24.31,20.88,41.95,1222,55.24,7.39
B Muzarabani,1701,1976,90,732,193,50,T20I,283.5,6.97,21.96,18.9,43.03,1072,54.25,7.0
DM Nakrani,1451,1381,90,683,109,30,T20I,241.8,5.71,15.34,16.12,47.07,616,44.61,10.44
MRJ Watt,1682,1947,87,610,121,73,T20I,280.3,6.95,22.38,19.33,36.27,922,47.35,8.67
L Ngidi,1336,1890,87,510,173,86,T20I,222.7,8.49,21.72,15.36,38.17,1208,63.92,5.16
Sompal Kami,1708,2027,87,731,212,56,T20I,284.7,7.12,23.3,19.63,42.8,1184,58.41,6.37
T Shamsi,1555,1876,86,521,99,88,T20I,259.2,7.24,21.81,18.08,33.5,924,49.25,8.32
Saeed Ajmal,1457,1564,85,582,112,45,T20I,242.8,6.44,18.4,17.14,39.95,718,45.91,9.28
B Kumar,1843,2134,85,829,201,68,T20I,307.2,6.95,25.11,21.68,44.98,1212,56.79,6.85
Yasim Murtaza,1593,1690,84,675,88,81,T20I,265.5,6.37,20.12,18.96,42.37,838,49.59,9.43
PA van Meekeren,1562,1836,84,641,158,52,T20I,260.3,7.05,21.86,18.6,41.04,944,51.42,7.44
Umar Gul,1224,1477,84,457,128,36,T20I,204.0,7.24,17.58,14.57,37.34,728,49.29,7.46
BM Scholtz,1685,1765,84,658,96,66,T20I,280.8,6.29,21.01,20.06,39.05,780,44.19,10.4
M Theekshana,1882,2196,83,687,182,60,T20I,313.7,7.0,26.46,22.67,36.5,1088,49.54,7.78
Imran Anwar,1574,1849,82,624,174,50,T20I,262.3,7.05,22.55,19.2,39.64,996,53.87,7.03
R Shepherd,1470,2315,81,388,196,101,T20I,245.0,9.45,28.58,18.15,26.39,1390,60.04,4.95
IO Okpe,1479,1641,81,604,118,51,T20I,246.5,6.66,20.26,18.26,40.84,778,47.41,8.75
AM Kimote,1139,1329,81,460,112,40,T20I,189.8,7.0,16.41,14.06,40.39,688,51.77,7.49
CA Young,1321,1782,81,486,153,75,T20I,220.2,8.09,22.0,16.31,36.79,1062,59.6,5.79
Vraj Patel,1268,1129,80,634,64,36,T20I,211.3,5.34,14.11,15.85,50.0,472,41.81,12.68
MA Starc,1559,1961,79,650,187,60,T20I,259.8,7.55,24.82,19.73,41.69,1108,56.5,6.31
SM Sharif,1444,1897,79,491,178,55,T20I,240.7,7.88,24.01,18.28,34.0,1042,54.93,6.2
K Rabada,1733,2328,78,672,219,97,T20I,288.8,8.06,29.85,22.22,38.78,1458,62.63,5.48
S Vijay Unni,1371,1395,78,608,95,49,T20I,228.5,6.11,17.88,17.58,44.35,674,48.32,9.52
TA Boult,1394,1786,78,583,202,49,T20I,232.3,7.69,22.9,17.87,41.82,1102,61.7,5.55
DJ Bravo,1551,2049,78,419,161,55,T20I,258.5,7.93,26.27,19.88,27.01,974,47.54,7.18
JR Hazlewood,1343,1659,77,591,165,56,T20I,223.8,7.41,21.55,17.44,44.01,996,60.04,6.08
GH Dockrell,1356,1526,77,451,81,48,T20I,226.0,6.75,19.82,17.61,33.26,612,40.1,10.51
M Akayezu,1478,1777,77,590,165,40,T20I,246.3,7.21,23.08,19.19,39.92,900,50.65,7.21
Aqib Iqbal,1502,1717,76,648,148,51,T20I,250.3,6.86,22.59,19.76,43.14,898,52.3,7.55
N Senamontree,1156,1068,75,606,68,45,T20I,192.7,5.54,14.24,15.41,52.42,542,50.75,10.23
MNM Aslam,1430,1464,75,629,78,67,T20I,238.3,6.14,19.52,19.07,43.99,714,48.77,9.86
Mohammad Nawaz,1204,1463,73,406,101,53,T20I,200.7,7.29,20.04,16.49,33.72,722,49.35,7.82
CV Varun,977,1236,73,376,69,70,T20I,162.8,7.59,16.93,13.38,38.49,696,56.31,7.03
LH Ferguson,1121,1327,73,488,109,55,T20I,186.8,7.1,18.18,15.36,43.53,766,57.72,6.84
Syed Aziz,1446,1647,72,608,139,50,T20I,241.0,6.83,22.88,20.08,42.05,856,51.97,7.65
JJ Smit,1116,1236,72,450,92,33,T20I,186.0,6.65,17.17,15.5,40.32,566,45.79,8.93
RE van der Merwe,1283,1404,71,481,90,46,T20I,213.8,6.57,19.77,18.07,37.49,636,45.3,9.43
Hasan Ali,1172,1683,71,408,154,65,T20I,195.3,8.62,23.7,16.51,34.81,1006,59.77,5.35
Mohammad Amir,1382,1635,71,581,174,34,T20I,230.3,7.1,23.03,19.46,42.04,900,55.05,6.64
CW Perchard,977,1002,71,411,64,28,T20I,162.8,6.15,14.11,13.76,42.07,424,42.32,10.62
Saad Bin Zafar,1327,1352,70,583,85,50,T20I,221.2,6.11,19.31,18.96,43.93,640,47.34,9.83
Mahedi Hasan,1488,1670,70,615,127,63,T20I,248.0,6.73,23.86,21.26,41.33,886,53.05,7.83
Imad Wasim,1492,1547,69,605,104,47,T20I,248.7,6.22,22.42,21.62,40.55,698,45.12,9.88
P Aho,1252,1233,69,595,116,22,T20I,208.7,5.91,17.87,18.14,47.52,596,48.34,9.07
