player,runs,balls,fours,sixes,outs,format,average,strike_rate,boundary_runs,boundary_percent,balls_per_boundary
MG Bracewell,58,49,6,1,2,IPL,29.0,118.37,30,51.72,7.0
I Sharma,57,71,4,2,6,IPL,9.5,80.28,28,49.12,11.83
WA Mota,56,76,2,0,5,IPL,11.2,73.68,8,14.29,38.0
M Rawat,55,70,4,1,5,IPL,11.0,78.57,22,40.0,14.0
TU Deshpande,54,38,2,4,4,IPL,13.5,142.11,32,59.26,6.33
DJ Willey,53,64,7,0,2,IPL,26.5,82.81,28,52.83,9.14
PVD Chameera,53,49,3,3,3,IPL,17.67,108.16,30,56.6,8.17
Shivang Kumar,53,50,6,1,6,IPL,8.83,106.0,30,56.6,7.14
A Chopra,53,75,7,0,5,IPL,10.6,70.67,28,52.83,10.71
Shoaib Malik,52,49,5,0,4,IPL,13.0,106.12,20,38.46,9.8
RP Singh,52,78,2,1,14,IPL,3.71,66.67,14,26.92,26.0
Swapnil Singh,51,46,3,3,5,IPL,10.2,110.87,30,58.82,7.67
KB Arun Karthik,51,53,4,1,5,IPL,10.2,96.23,22,43.14,10.6
Shivam Mavi,51,58,4,2,9,IPL,5.67,87.93,28,54.9,9.67
OF Smith,51,50,1,5,3,IPL,17.0,102.0,34,66.67,8.33
R Rampaul,51,52,3,2,5,IPL,10.2,98.08,24,47.06,10.4
VR Aaron,50,73,2,2,4,IPL,12.5,68.49,20,40.0,18.25
RV Gomez,50,53,5,1,5,IPL,10.0,94.34,26,52.0,8.83
SB Bangar,49,58,1,3,6,IPL,8.17,84.48,22,44.9,14.5
AS Yadav,49,40,5,2,5,IPL,9.8,122.5,32,65.31,5.71
AG Paunikar,49,61,9,0,5,IPL,9.8,80.33,36,73.47,6.78
A Nortje,49,52,6,0,6,IPL,8.17,94.23,24,48.98,8.67
M Markande,48,44,5,1,3,IPL,16.0,109.09,26,54.17,7.33
T Kohler-Cadmore,48,54,7,1,3,IPL,16.0,88.89,34,70.83,6.75
Yashpal Singh,47,67,5,0,4,IPL,11.75,70.15,20,42.55,13.4
SU Parakh,46,33,5,2,4,IPL,11.5,139.39,32,69.57,4.71
TL Seifert,45,44,6,1,6,IPL,7.5,102.27,30,66.67,6.29
Ravi Bishnoi,45,71,2,2,11,IPL,4.09,63.38,20,44.44,17.75
D Pretorius,44,28,3,3,4,IPL,11.0,157.14,30,68.18,4.67
DR Sams,44,48,1,3,9,IPL,4.89,91.67,22,50.0,12.0
Sunny Singh,43,31,6,1,4,IPL,10.75,138.71,30,69.77,4.43
Rasikh Salam,43,43,5,0,5,IPL,8.6,100.0,20,46.51,8.6
SK Trivedi,42,61,3,1,7,IPL,6.0,68.85,18,42.86,15.25
AB Barath,42,43,5,1,2,IPL,21.0,97.67,26,61.9,7.17
A Nehra,41,63,3,1,6,IPL,6.83,65.08,18,43.9,15.75
J Yadav,40,38,2,1,2,IPL,20.0,105.26,14,35.0,12.67
LPC Silva,40,27,5,1,2,IPL,20.0,148.15,26,65.0,4.5
BR Dunk,40,36,7,0,3,IPL,13.33,111.11,28,70.0,5.14
XC Bartlett,40,29,3,2,2,IPL,20.0,137.93,24,60.0,5.8
Umar Gul,39,19,1,5,3,IPL,13.0,205.26,34,87.18,3.17
S Nadeem,39,88,2,0,14,IPL,2.79,44.32,8,20.51,44.0
MM Patel,39,41,5,0,5,IPL,7.8,95.12,20,51.28,8.2
DJ Thornely,39,54,2,2,3,IPL,13.0,72.22,20,51.28,13.5
AUK Pathan,39,26,5,2,5,IPL,7.8,150.0,32,82.05,3.71
S Narwal,37,29,6,0,3,IPL,12.33,127.59,24,64.86,4.83
YS Chahal,37,89,0,0,6,IPL,6.17,41.57,0,0.0,
Anureet Singh,36,47,2,1,4,IPL,9.0,76.6,14,38.89,15.67
AN Ahmed,36,27,4,1,1,IPL,36.0,133.33,22,61.11,5.4
KW Richardson,36,39,2,1,3,IPL,12.0,92.31,14,38.89,13.0
Sohail Tanvir,36,31,3,1,3,IPL,12.0,116.13,18,50.0,7.75
Joginder Sharma,36,30,1,2,4,IPL,9.0,120.0,16,44.44,10.0
L Balaji,36,50,2,1,7,IPL,5.14,72.0,14,38.89,16.67
Salil Arora,35,25,2,2,1,IPL,35.0,140.0,20,57.14,6.25
M Ashwin,35,50,2,1,8,IPL,4.38,70.0,14,40.0,16.67
A Kumble,35,49,3,0,2,IPL,17.5,71.43,12,34.29,16.33
RA Bawa,35,32,2,0,3,IPL,11.67,109.38,8,22.86,16.0
B Sumanth,35,38,3,0,1,IPL,35.0,92.11,12,34.29,12.67
L Ronchi,34,37,6,1,3,IPL,11.33,91.89,30,88.24,5.29
AP Dole,34,23,3,1,2,IPL,17.0,147.83,18,52.94,5.75
A Mithun,34,26,4,1,5,IPL,6.8,130.77,22,64.71,5.2
S Sreesanth,34,57,6,0,3,IPL,11.33,59.65,24,70.59,9.5
D Salunkhe,33,24,5,0,1,IPL,33.0,137.5,20,60.61,4.8
Navdeep Saini,33,38,3,0,4,IPL,8.25,86.84,12,36.36,12.67
Imran Tahir,33,37,5,0,4,IPL,8.25,89.19,20,60.61,7.4
Arshdeep Singh,32,49,4,0,6,IPL,5.33,65.31,16,50.0,12.25
RJ Peterson,32,32,3,1,3,IPL,10.67,100.0,18,56.25,8.0
AT Carey,32,29,0,1,2,IPL,16.0,110.34,6,18.75,29.0
Basil Thampi,32,37,1,1,1,IPL,32.0,86.49,10,31.25,18.5
G Coetzee,31,33,2,2,6,IPL,5.17,93.94,20,64.52,8.25
S Sriram,31,38,3,0,2,IPL,15.5,81.58,12,38.71,12.67
GF Linde,31,21,6,0,3,IPL,10.33,147.62,24,77.42,3.5
T Taibu,31,26,3,0,3,IPL,10.33,119.23,12,38.71,8.67
