bowler,balls,runs_conceded,wickets,dot_balls,fours_conceded,sixes_conceded,format,overs,economy,bowling_average,bowling_strike_rate,dot_ball_percent,boundary_runs_conceded,boundary_percent_conceded,balls_per_boundary
RN ten Doeschate,83,94,2,22,4,3,IPL,13.8,6.81,47.0,41.5,26.51,34,36.17,11.86
ND Doshi,57,79,2,24,5,6,IPL,9.5,8.32,39.5,28.5,42.11,56,70.89,5.18
Sachin Baby,10,8,2,5,1,0,IPL,1.7,4.71,4.0,5.0,50.0,4,50.0,10.0
Mayank Dagar,138,205,2,43,14,11,IPL,23.0,8.91,102.5,69.0,31.16,122,59.51,5.52
LJ Wright,75,125,2,14,5,9,IPL,12.5,10.0,62.5,37.5,18.67,74,59.2,5.36
Ankit Soni,112,145,2,37,8,7,IPL,18.7,7.75,72.5,56.0,33.04,74,51.03,7.47
KT Maphaka,71,148,2,22,18,8,IPL,11.8,12.54,74.0,35.5,30.99,120,81.08,2.73
A Flintoff,66,106,2,20,7,7,IPL,11.0,9.64,53.0,33.0,30.3,70,66.04,4.71
C Nanda,50,58,2,13,1,2,IPL,8.3,6.99,29.0,25.0,26.0,16,27.59,16.67
A Uniyal,38,67,2,8,6,3,IPL,6.3,10.63,33.5,19.0,21.05,42,62.69,4.22
JPR Scantlebury-Searles,45,89,2,7,4,7,IPL,7.5,11.87,44.5,22.5,15.56,58,65.17,4.09
MJ Suthar,50,94,2,17,8,7,IPL,8.3,11.33,47.0,25.0,34.0,74,78.72,3.33
SC Kuggeleijn,50,71,2,17,6,3,IPL,8.3,8.55,35.5,25.0,34.0,42,59.15,5.56
RJ Gleeson,73,111,2,24,14,3,IPL,12.2,9.1,55.5,36.5,32.88,74,66.67,4.29
P Dubey,79,112,2,23,10,5,IPL,13.2,8.48,56.0,39.5,29.11,70,62.5,5.27
PHKD Mendis,42,60,2,11,4,3,IPL,7.0,8.57,30.0,21.0,26.19,34,56.67,6.0
FA Allen,91,136,2,26,11,7,IPL,15.2,8.95,68.0,45.5,28.57,86,63.24,5.06
Abdul Samad,58,125,2,12,6,10,IPL,9.7,12.89,62.5,29.0,20.69,84,67.2,3.62
P Suyal,107,154,2,36,16,5,IPL,17.8,8.65,77.0,53.5,33.64,94,61.04,5.1
DA Payne,31,70,2,5,6,5,IPL,5.2,13.46,35.0,15.5,16.13,54,77.14,2.82
MA Khote,30,52,2,5,4,2,IPL,5.0,10.4,26.0,15.0,16.67,28,53.85,5.0
V Kaverappa,24,36,2,11,2,3,IPL,4.0,9.0,18.0,12.0,45.83,26,72.22,4.8
DNT Zoysa,69,100,2,24,12,3,IPL,11.5,8.7,50.0,34.5,34.78,66,66.0,4.6
Shoaib Malik,58,87,2,15,7,3,IPL,9.7,8.97,43.5,29.0,25.86,46,52.87,5.8
D Kalyankrishna,50,88,2,10,8,4,IPL,8.3,10.6,44.0,25.0,20.0,56,63.64,4.17
K Yadav,54,85,2,13,6,4,IPL,9.0,9.44,42.5,27.0,24.07,48,56.47,5.4
Mohammad Hafeez,63,71,2,22,5,2,IPL,10.5,6.76,35.5,31.5,34.92,32,45.07,9.0
RA Bawa,32,50,2,7,2,3,IPL,5.3,9.43,25.0,16.0,21.88,26,52.0,6.4
KA Maharaj,36,39,2,11,2,1,IPL,6.0,6.5,19.5,18.0,30.56,14,35.9,12.0
KJ Abbott,102,182,2,28,24,4,IPL,17.0,10.71,91.0,51.0,27.45,120,65.93,3.64
SS Mishra,47,68,2,15,6,3,IPL,7.8,8.72,34.0,23.5,31.91,42,61.76,5.22
MJ Clarke,66,72,2,22,4,2,IPL,11.0,6.55,36.0,33.0,33.33,28,38.89,11.0
GD Phillips,31,40,2,10,4,1,IPL,5.2,7.69,20.0,15.5,32.26,22,55.0,6.2
AU Rashid,60,91,2,20,4,7,IPL,10.0,9.1,45.5,30.0,33.33,58,63.74,5.45
S Vidyut,13,22,1,5,1,2,IPL,2.2,10.0,22.0,13.0,38.46,16,72.73,4.33
Y Prithvi Raj,33,57,1,8,6,2,IPL,5.5,10.36,57.0,33.0,24.24,36,63.16,4.12
SE Rutherford,46,60,1,7,4,1,IPL,7.7,7.79,60.0,46.0,15.22,22,36.67,9.2
D Salunkhe,51,80,1,13,6,3,IPL,8.5,9.41,80.0,51.0,25.49,42,52.5,5.67
B Geeves,49,91,1,15,17,1,IPL,8.2,11.1,91.0,49.0,30.61,74,81.32,2.72
Musheer Khan,12,27,1,1,2,2,IPL,2.0,13.5,27.0,12.0,8.33,20,74.07,3.0
LI Meriwala,19,32,1,6,4,1,IPL,3.2,10.0,32.0,19.0,31.58,22,68.75,3.8
DJ Mitchell,51,97,1,5,9,4,IPL,8.5,11.41,97.0,51.0,9.8,60,61.86,3.92
PVSN Raju,29,54,1,3,4,3,IPL,4.8,11.25,54.0,29.0,10.34,34,62.96,4.14
PM Sarvesh Kumar,31,42,1,11,7,0,IPL,5.2,8.08,42.0,31.0,35.48,28,66.67,4.43
DB Ravi Teja,18,28,1,4,1,2,IPL,3.0,9.33,28.0,18.0,22.22,16,57.14,6.0
AC Gilchrist,1,0,1,1,0,0,IPL,0.2,0.0,0.0,1.0,100.0,0,0.0,
CJ McKay,42,60,1,14,8,1,IPL,7.0,8.57,60.0,42.0,33.33,38,63.33,4.67
NB Singh,25,18,1,13,2,0,IPL,4.2,4.29,18.0,25.0,52.0,8,44.44,12.5
SS Agarwal,24,42,1,7,3,3,IPL,4.0,10.5,42.0,24.0,29.17,30,71.43,4.0
D Jansen,28,53,1,6,3,4,IPL,4.7,11.28,53.0,28.0,21.43,36,67.92,4.0
SSB Magala,37,52,1,5,5,0,IPL,6.2,8.39,52.0,37.0,13.51,20,38.46,7.4
MK Lomror,94,127,1,22,8,5,IPL,15.7,8.09,127.0,94.0,23.4,62,48.82,7.23
MK Tiwary,45,83,1,9,2,7,IPL,7.5,11.07,83.0,45.0,20.0,50,60.24,5.0
TP Sudhindra,74,137,1,18,9,9,IPL,12.3,11.14,137.0,74.0,24.32,90,65.69,4.11
SA Abbott,59,104,1,13,13,3,IPL,9.8,10.61,104.0,59.0,22.03,70,67.31,3.69
SS Mundhe,7,6,1,4,1,0,IPL,1.2,5.0,6.0,7.0,57.14,4,66.67,7.0
RS Ghosh,18,24,1,6,4,0,IPL,3.0,8.0,24.0,18.0,33.33,16,66.67,4.5
D Ferreira,18,41,1,2,3,3,IPL,3.0,13.67,41.0,18.0,11.11,30,73.17,3.0
D Madushanka,28,36,1,8,3,1,IPL,4.7,7.66,36.0,28.0,28.57,18,50.0,7.0
GF Linde,37,55,1,10,6,2,IPL,6.2,8.87,55.0,37.0,27.03,36,65.45,4.62
BMAJ Mendis,30,36,1,11,2,2,IPL,5.0,7.2,36.0,30.0,36.67,20,55.56,7.5
R Powell,21,35,1,4,2,2,IPL,3.5,10.0,35.0,21.0,19.05,20,57.14,5.25
L Wood,38,94,1,8,12,5,IPL,6.3,14.92,94.0,38.0,21.05,78,82.98,2.24
AA Jhunjhunwala,88,130,1,27,10,5,IPL,14.7,8.84,130.0,88.0,30.68,70,53.85,5.87
DJM Short,18,23,1,7,1,1,IPL,3.0,7.67,23.0,18.0,38.89,10,43.48,9.0
AM Rahane,6,5,1,2,0,0,IPL,1.0,5.0,5.0,6.0,33.33,0,0.0,
LA Carseldine,7,6,1,4,1,0,IPL,1.2,5.0,6.0,7.0,57.14,4,66.67,7.0
AJ Finch,44,67,1,13,4,4,IPL,7.3,9.18,67.0,44.0,29.55,40,59.7,5.5
